Rank,Player,Nationality,Metric,Stat
18,Danny Welbeck,England,Shots,4
19,Eddie Nketiah,England,Shots,3
20,Joe Willock,England,Shots,2
20,Konstantinos Mavropanos,Greece,Shots,2
20,Rob Holding,England,Shots,2
23,Stephan Lichtsteiner,Switzerland,Shots,1
24,Bernd Leno,Germany,Shots,0
24,Bukayo Saka,England,Shots,0
24,Carl Jenkinson,England,Shots,0
24,Denis Suárez,Spain,Shots,0
24,Petr Cech,Czech Republic,Shots,0
1,Lucas Torreira,Uruguay,Tackles,65
2,Shkodran Mustafi,Germany,Tackles,62
3,Granit Xhaka,Switzerland,Tackles,52
4,Matteo Guendouzi,France,Tackles,44
5,Sokratis,Greece,Tackles,42
6,Alexandre Lacazette,France,Tackles,35
6,Nacho Monreal,Spain,Tackles,35
8,Aaron Ramsey,Wales,Tackles,34
8,Sead Kolasinac,Bosnia And Herzegovina,Tackles,34
10,Ainsley Maitland-Niles,England,Tackles,33
11,Alex Iwobi,Nigeria,Tackles,28
11,Henrikh Mkhitaryan,Armenia,Tackles,28
13,Pierre-Emerick Aubameyang,Gabon,Tackles,21
14,Laurent Koscielny,France,Tackles,19
15,Héctor Bellerín,Spain,Tackles,15
15,Stephan Lichtsteiner,Switzerland,Tackles,15
17,Mohamed Elneny,Egypt,Tackles,13
18,Mesut Özil,Germany,Tackles,12
19,Rob Holding,England,Tackles,11
20,Carl Jenkinson,England,Tackles,3
20,Danny Welbeck,England,Tackles,3
22,Denis Suárez,Spain,Tackles,1
22,Eddie Nketiah,England,Tackles,1
22,Joe Willock,England,Tackles,1
22,Konstantinos Mavropanos,Greece,Tackles,1
22,Petr Cech,Czech Republic,Tackles,1
23,Bernd Leno,Germany,Tackles,0
23,Bukayo Saka,England,Tackles,0
1,Granit Xhaka,Switzerland,Touches,2784
2,Shkodran Mustafi,Germany,Touches,2223
3,Lucas Torreira,Uruguay,Touches,2056
4,Matteo Guendouzi,France,Touches,1965
5,Sokratis,Greece,Touches,1699
6,Nacho Monreal,Spain,Touches,1580
7,Sead Kolasinac,Bosnia And Herzegovina,Touches,1469
8,Alex Iwobi,Nigeria,Touches,1415
9,Mesut Özil,Germany,Touches,1384
10,Alexandre Lacazette,France,Touches,1313
11,Bernd Leno,Germany,Touches,1276
12,Henrikh Mkhitaryan,Armenia,Touches,1197
13,Héctor Bellerín,Spain,Touches,1159
14,Pierre-Emerick Aubameyang,Gabon,Touches,1132
15,Laurent Koscielny,France,Touches,1082
16,Aaron Ramsey,Wales,Touches,1029
17,Ainsley Maitland-Niles,England,Touches,782
18,Rob Holding,England,Touches,724
19,Stephan Lichtsteiner,Switzerland,Touches,718
20,Mohamed Elneny,Egypt,Touches,341
21,Petr Cech,Czech Republic,Touches,315
22,Konstantinos Mavropanos,Greece,Touches,158
23,Carl Jenkinson,England,Touches,111
24,Danny Welbeck,England,Touches,87
25,Denis Suárez,Spain,Touches,59
26,Eddie Nketiah,England,Touches,37
27,Joe Willock,England,Touches,31
28,Bukayo Saka,England,Touches,0
1,Sokratis,Greece,Yellow Cards,12
2,Granit Xhaka,Switzerland,Yellow Cards,10
3,Matteo Guendouzi,France,Yellow Cards,9
3,Shkodran Mustafi,Germany,Yellow Cards,9
5,Lucas Torreira,Uruguay,Yellow Cards,7
6,Nacho Monreal,Spain,Yellow Cards,5
6,Sead Kolasinac,Bosnia And Herzegovina,Yellow Cards,5
8,Héctor Bellerín,Spain,Yellow Cards,3
8,Stephan Lichtsteiner,Switzerland,Yellow Cards,3
10,Alexandre Lacazette,France,Yellow Cards,2
10,Mesut Özil,Germany,Yellow Cards,2
12,Ainsley Maitland-Niles,England,Yellow Cards,1
12,Henrikh Mkhitaryan,Armenia,Yellow Cards,1
12,Konstantinos Mavropanos,Greece,Yellow Cards,1
12,Laurent Koscielny,France,Yellow Cards,1
12,Rob Holding,England,Yellow Cards,1
13,Aaron Ramsey,Wales,Yellow Cards,0
13,Alex Iwobi,Nigeria,Yellow Cards,0
13,Bernd Leno,Germany,Yellow Cards,0
13,Bukayo Saka,England,Yellow Cards,0
13,Carl Jenkinson,England,Yellow Cards,0
13,Danny Welbeck,England,Yellow Cards,0
13,Denis Suárez,Spain,Yellow Cards,0
13,Eddie Nketiah,England,Yellow Cards,0
13,Joe Willock,England,Yellow Cards,0
